W/C,W/B,A/C,Cement,Silica fume,Fly ash,Slag,Metakaolin,Filler,Superplasticizer,SAP,SAP size,SAP water uptake,Time,Shrinkage/Swelling
0.74,0.37,7.48,227,0,0,100,0,0,1.8,0,0,0,1,-17.2
0.44,0.176,0.3,714,0,0,100,0,50,0.8,0,0,0,1,-17.1
0.41,0.348,4.39,403,0,17.65,0,0,0,0,0,0,0,1,-17
0.35,0.35,3.5,498,0,0,0,0,0,0,0,0,0,1,-17
0.65,0.65,7.96,250,0,0,0,0,0,0.25,0,0,0,1,-17
0.6,0.6,6.43,292,0,0,0,0,0,0.3,0,0,0,1,-16.9
0.3,0.3,0,1619,0,0,0,0,0,0.3,0,0,0,1,-16.5
0.42,0.358,4.85,374,0,17.46,0,0,0,0,0,0,0,1,-16
0.86,0.86,4.75,457,0,0,0,0,0,0,0,0,0,1,-15.5
0.35,0.35,3.5,498,0,0,0,0,0,0.82,0,0,0,1,-15
0.4,0.4,3,500,0,0,0,0,0,0.8,0,0,0,1,-14.9
0.53,0.53,5.25,350,0,0,0,0,0,0,0,0,0,1,-14.6
0.24,0.2,0,1030,19.7,0,0,0,23.8,1.44,0.57,40,21,1,-14.4
0.64,0.32,0,790.5,0,0,80,0,20,0,0,0,0,1,-14
0.32,0.32,3.15,525,0,0,0,0,0,1.8,0,0,0,1,-13.4
0.528,0.37,5.36,318,0,0,42.8,0,0,1.8,0,0,0,1,-12.7
0.33,0.33,3.39,506,0,0,0,0,0,0,0,0,0,1,-12.5
0.4,0.34,5.04,368,0,17.74,0,0,0,0,0,0,0,1,-12
0.42,0.359,4.13,415,0,17.14,0,0,0,0,0,0,0,1,-12
0.8,0.8,4.75,405,0,0,0,0,0,0,0,0,0,1,-11.3
0.58,0.58,7.15,275,0,0,0,0,0,0,0,0,0,1,-11.1
0.305,0.28,3.19,530,0,0,0,8.86,0,1.57,0,0,0,1,-10
0.44,0.44,3.7,450,0,0,0,0,0,3,0,0,0,1,-9.9
0.39,0.39,4.06,450,0,0,0,0,0,1.31,0,0,0,1,-9.8
0.8,0.4,6,250,0,0,100,0,0,0.5,0,0,0,1,-9.7
0.58,0.58,4.75,337,0,0,0,0,0,0,0,0,0,1,-9.7
0.41,0.352,4.35,425,16.47,0,0,0,0,3.14,0,0,0,1,-9.6
0.84,0.42,8.72,200,0,0,100,0,0,1.8,0,0,0,1,-9.6
0.35,0.35,3.13,547,0,0,0,0,0,1.07,0,0,0,1,-9.5
0.386,0.35,3.5,492,0,0,0,11.2,0,1.44,0,0,0,1,-9.5
1.6,0.32,0,316.2,0,0,350,0,50,0,0,0,0,1,-9.4
0.355,0.32,0,1423,0,0,0,0,11.1,0,0,0,0,1,-9.3
0.42,0.359,4.15,415,0,17.14,0,0,0,0,0,0,0,1,-9
0.32,0.296,3.77,453,7.95,0,0,0,0,7.73,0,0,0,1,-7.8
0.37,0.336,3.37,444,10,0,0,0,0,2,0,0,0,1,-7.3
0.615,0.4,4.615,325,0,53.8,0,0,0,0.7,0,0,0,1,-6.7
0.5,0.35,7.09,266,0,42.85,0,0,0,0.6,0,0,0,1,-6.5
0.3,0.3,2.75,596.3,0,0,0,0,0,0.5,0.2,482,10.99,1,-5.9
0.3,0.273,3.69,490,10,0,0,0,0,1.76,0,0,0,1,-5.8
0.5,0.5,4.66,370,0,0,0,0,0,0,0,0,0,1,-5.7
0.5,0.5,4.66,370,0,0,0,0,0,9.46,0,0,0,1,-5.4
0.64,0.32,0,790.5,0,0,100,0,0,0,0,0,0,1,-5.4
0.74,0.4,10.48,183.6,0,0,0,57.4,27.8,0.1,0,0,0,1,-5
0.56,0.56,4.57,350,0,0,0,0,0,1.43,0,0,0,1,-4.6
0.35,0.35,3.96,450,0,0,0,0,0,2.5,0,0,0,1,-4
0.44,0.44,4.84,375,0,0,0,0,0,0,0,0,0,1,-4
0.36,0.333,4.32,418,8.1,0,0,0,0,1.51,0,0,0,1,-3.2
0.3,0.273,3.69,490,10,0,0,0,0,1.76,0,0,0,1,-3.2
0.4,0.4,5.26,360,0,0,0,0,0,0.6,0,0,0,1,-3
0.55,0.55,4.75,360,0,0,0,0,0,0,0,0,0,1,-2.9
0.32,0.305,4.12,455,5.05,0,0,0,0,1.12,0,0,0,1,-2.8
0.926,0.5,11.56,167.4,0,0,0,57.4,27.8,1,0,0,0,1,-2.2
0.55,0.55,4.75,323,0,0,0,0,0,0,0,0,0,1,-2.2
